NAME	GROUP	M0004	M0509	M1012	M1314	M1519	M2024	M2529	M3034	M3539	M4044	M4549	M5054	M5559	M6064	M6569	M7074	M75_OVER	MT	F0004	F0509	F1012	F1314	F1519	F2024	F2529	F3034	F3539	F4044	F4549	F5054	F5559	F6064	F6569	F7074	F75_OVER	FT	T0004	T0509	T1012	T1314	T1519	T2024	T2529	T3034	T3539	T4044	T4549	T5054	T5559	T6064	T6569	T7074	T75_OVER	TT
1	HISP	744	658	279	213	530	741	817	787	671	563	396	305	211	125	78	57	63	7238	728	658	319	171	500	607	602	608	529	364	306	247	203	125	70	68	90	6195	1472	1316	598	384	1030	1348	1419	1395	1200	927	702	552	414	250	148	125	153	13433
1	NHW	429	175	87	49	392	1233	1280	1293	1064	940	901	751	670	538	371	262	397	10832	399	183	83	48	640	1645	1296	1201	857	676	641	595	633	580	358	291	660	10786	828	358	170	97	1032	2878	2576	2494	1921	1616	1542	1346	1303	1118	729	553	1057	21618
1	NHB	493	443	266	146	500	530	599	557	599	618	591	622	390	343	150	87	105	7039	504	414	258	151	464	598	676	609	619	537	666	642	468	311	173	114	218	7422	997	857	524	297	964	1128	1275	1166	1218	1155	1257	1264	858	654	323	201	323	14461
1	NHAM	2	4	0	1	3	8	6	4	5	2	6	6	5	4	4	2	1	63	3	2	3	1	1	9	12	7	4	3	11	6	6	4	1	2	4	79	5	6	3	2	4	17	18	11	9	5	17	12	11	8	5	4	5	142
1	NHAS	94	69	41	42	139	179	187	164	179	121	88	84	72	71	63	38	79	1710	92	61	39	31	129	222	181	192	177	118	86	86	94	97	61	50	97	1813	186	130	80	73	268	401	368	356	356	239	174	170	166	168	124	88	176	3523
1	NHOTHER	14	10	4	0	4	8	8	11	7	5	3	5	4	5	3	0	0	91	8	9	5	3	3	13	9	16	11	10	8	7	1	2	6	0	0	111	22	19	9	3	7	21	17	27	18	15	11	12	5	7	9	0	0	202
1	MULTI	116	67	33	25	50	72	70	66	61	37	39	38	31	17	13	14	11	760	111	69	27	14	60	106	97	67	53	33	35	36	28	28	21	9	19	813	227	136	60	39	110	178	167	133	114	70	74	74	59	45	34	23	30	1573
1	Total	1892	1426	710	476	1618	2776	2970	2883	2587	2286	2024	1814	1384	1103	683	460	660	27752	1845	1396	734	419	1798	3200	2877	2703	2252	1742	1753	1620	1436	1147	691	534	1092	27239	3737	2822	1444	895	3416	5976	5847	5586	4839	4028	3777	3434	2820	2250	1374	994	1752	54991
2	HISP	778	714	378	249	669	677	762	711	617	494	421	326	274	166	108	65	99	7508	781	655	388	233	579	585	669	625	584	448	428	321	301	195	147	100	154	7193	1559	1369	766	482	1248	1262	1431	1336	1201	942	849	647	575	361	255	165	253	14701
2	NHW	1061	850	434	296	685	769	1024	1123	1004	987	1095	1100	1124	950	621	476	1146	14745	971	893	460	307	721	812	1061	1097	936	947	1121	1187	1172	1050	733	639	1854	15961	2032	1743	894	603	1406	1581	2085	2220	1940	1934	2216	2287	2296	2000	1354	1115	3000	30706
2	NHB	364	344	194	117	336	289	289	262	312	307	305	260	227	127	71	33	38	3875	335	328	190	128	315	270	333	313	335	317	361	306	218	151	93	54	93	4140	699	672	384	245	651	559	622	575	647	624	666	566	445	278	164	87	131	8015
2	NHAM	16	7	7	3	3	8	6	6	2	4	6	2	2	8	1	1	4	86	9	16	7	3	7	5	3	9	5	4	7	8	7	3	2	2	6	103	25	23	14	6	10	13	9	15	7	8	13	10	9	11	3	3	10	189
2	NHAS	602	584	313	208	500	612	713	579	631	684	574	567	523	412	275	193	264	8234	550	586	304	195	465	555	648	567	641	586	549	533	561	389	278	246	297	7950	1152	1170	617	403	965	1167	1361	1146	1272	1270	1123	1100	1084	801	553	439	561	16184
2	NHOTHER	9	13	3	2	4	15	15	11	6	4	8	6	6	4	4	0	4	114	8	7	4	4	12	12	16	4	8	7	10	7	4	4	1	2	1	111	17	20	7	6	16	27	31	15	14	11	18	13	10	8	5	2	5	225
2	MULTI	110	99	58	34	95	76	81	74	56	54	52	56	44	25	13	13	18	958	122	112	57	36	78	63	63	72	60	58	38	46	53	28	25	13	37	961	232	211	115	70	173	139	144	146	116	112	90	102	97	53	38	26	55	1919
2	Total	2940	2611	1387	909	2292	2446	2890	2767	2628	2534	2461	2317	2200	1693	1093	781	1573	35522	2776	2597	1410	906	2177	2302	2793	2687	2569	2367	2514	2408	2316	1820	1279	1056	2443	36420	5716	5208	2797	1815	4469	4748	5683	5454	5197	4901	4975	4725	4516	3513	2372	1837	4016	71942
3	HISP	295	238	128	91	276	441	573	531	464	362	326	250	193	126	99	48	92	4533	308	219	102	88	202	349	396	351	324	241	197	190	141	113	63	70	122	3476	603	457	230	179	478	790	969	882	788	603	523	440	334	239	162	118	214	8009
3	NHW	568	192	87	58	150	1165	2562	2384	1683	1491	1256	977	811	595	448	338	571	15336	524	198	83	58	167	1306	2588	2165	1301	946	668	666	607	618	439	394	1034	13762	1092	390	170	116	317	2471	5150	4549	2984	2437	1924	1643	1418	1213	887	732	1605	29098
3	NHB	343	360	194	133	314	333	414	420	407	508	626	633	529	285	151	96	90	5836	363	324	166	104	358	350	459	386	423	446	425	507	388	291	134	107	208	5439	706	684	360	237	672	683	873	806	830	954	1051	1140	917	576	285	203	298	11275
3	NHAM	3	0	1	2	5	4	4	12	8	4	21	14	8	5	2	7	5	105	4	1	2	3	2	1	8	6	8	7	6	11	9	3	5	5	5	86	7	1	3	5	7	5	12	18	16	11	27	25	17	8	7	12	10	191
3	NHAS	158	126	71	51	129	198	315	350	301	237	190	175	162	124	118	89	227	3021	155	124	64	47	107	207	353	337	261	199	175	179	198	194	177	178	438	3393	313	250	135	98	236	405	668	687	562	436	365	354	360	318	295	267	665	6414
3	NHOTHER	4	5	1	0	3	9	10	8	4	5	9	3	4	2	0	1	0	68	7	5	0	1	2	13	9	4	4	4	2	3	3	3	2	0	0	62	11	10	1	1	5	22	19	12	8	9	11	6	7	5	2	1	0	130
3	MULTI	82	33	20	6	28	42	85	90	65	31	36	28	22	13	6	5	14	606	74	27	20	14	28	78	94	43	60	43	30	32	17	18	15	9	27	629	156	60	40	20	56	120	179	133	125	74	66	60	39	31	21	14	41	1235
3	Total	1453	954	502	341	905	2192	3964	3797	2932	2640	2465	2080	1730	1150	824	584	999	29512	1435	898	437	315	866	2305	3907	3293	2381	1887	1503	1588	1363	1240	835	763	1834	26850	2888	1852	939	656	1771	4497	7871	7090	5313	4527	3968	3668	3093	2390	1659	1347	2833	56362
4	HISP	292	282	168	115	285	310	382	390	322	293	241	220	186	118	78	49	57	3788	319	293	136	95	282	291	378	330	288	271	245	227	192	154	94	58	121	3774	611	575	304	210	567	601	760	720	610	564	486	447	378	272	172	107	178	7562
4	NHW	786	410	162	105	260	619	1731	1953	1391	1060	829	664	640	504	310	283	402	12109	738	403	158	85	237	745	2181	2078	1331	985	753	679	635	493	345	306	655	12807	1524	813	320	190	497	1364	3912	4031	2722	2045	1582	1343	1275	997	655	589	1057	24916
4	NHB	42	29	18	20	60	61	73	88	76	68	71	69	52	46	21	14	9	817	46	28	12	10	44	42	87	53	49	49	58	61	51	24	20	17	20	671	88	57	30	30	104	103	160	141	125	117	129	130	103	70	41	31	29	1488
4	NHAM	1	2	1	1	5	1	7	4	0	0	3	3	2	1	1	0	0	32	3	3	1	1	2	3	2	5	4	1	3	4	1	4	2	1	0	40	4	5	2	2	7	4	9	9	4	1	6	7	3	5	3	1	0	72
4	NHAS	108	101	64	37	116	155	193	209	207	138	128	128	143	110	72	55	67	2031	106	93	62	43	99	140	250	234	248	168	165	161	187	127	110	48	127	2368	214	194	126	80	215	295	443	443	455	306	293	289	330	237	182	103	194	4399
4	NHOTHER	9	10	6	1	5	5	7	5	8	4	4	1	1	0	0	1	0	67	9	4	4	4	4	3	7	3	8	2	1	3	3	3	1	2	0	61	18	14	10	5	9	8	14	8	16	6	5	4	4	3	1	3	0	128
4	MULTI	74	49	11	9	20	48	58	45	43	31	20	17	10	9	9	1	5	459	75	53	18	12	20	35	61	51	33	28	17	16	11	10	6	4	8	458	149	102	29	21	40	83	119	96	76	59	37	33	21	19	15	5	13	917
4	Total	1313	883	430	288	751	1199	2451	2696	2048	1595	1296	1102	1034	788	491	403	541	19309	1297	877	391	250	688	1260	2967	2754	1961	1505	1242	1151	1080	815	579	436	931	20184	2610	1760	821	538	1439	2459	5418	5450	4009	3100	2538	2253	2114	1603	1070	839	1472	39493
5	HISP	149	152	78	44	122	181	227	224	182	145	118	112	112	89	63	44	67	2109	172	147	95	65	117	152	225	196	163	129	131	152	113	113	64	77	110	2221	321	299	173	109	239	333	452	420	345	274	249	264	225	202	127	121	177	4330
5	NHW	1193	645	201	94	188	559	1907	1880	1484	1202	811	535	416	338	258	146	233	12090	1125	603	224	89	150	702	2300	1971	1442	1021	662	516	427	391	255	193	473	12544	2318	1248	425	183	338	1261	4207	3851	2926	2223	1473	1051	843	729	513	339	706	24634
