NAME	GROUP	M00-09	M10-19	M20-29	M30-39	M40-49	M50-59	M60-69	M70_OVER	MTotal	F00-09	F10-19	F20-29	F30-39	F40-49	F50-59	F60-69	F70_OVER	Ftotal	T00-09	T10-19	T20-29	T30-39	T40-49	T50-59	T60-69	T70_OVER	Ttotal
1	HISP	1402	1022	1558	1458	959	516	203	120	7238	1386	990	1209	1137	670	450	195	158	6195	2788	2012	2767	2595	1629	966	398	278	13433
1	NHW	604	528	2513	2357	1841	1421	909	659	10832	582	771	2941	2058	1317	1228	938	951	10786	1186	1299	5454	4415	3158	2649	1847	1610	21618
1	NHB	936	912	1129	1156	1209	1012	493	192	7039	918	873	1274	1228	1203	1110	484	332	7422	1854	1785	2403	2384	2412	2122	977	524	14461
1	NHAM	6	4	14	9	8	11	8	3	63	5	5	21	11	14	12	5	6	79	11	9	35	20	22	23	13	9	142
1	NHAS	163	222	366	343	209	156	134	117	1710	153	199	403	369	204	180	158	147	1813	316	421	769	712	413	336	292	264	3523
1	NHOTHER	24	8	16	18	8	9	8	0	91	17	11	22	27	18	8	8	0	111	41	19	38	45	26	17	16	0	202
1	MULTI	183	108	142	127	76	69	30	25	760	180	101	203	120	68	64	49	28	813	363	209	345	247	144	133	79	53	1573
1	Total	3318	2804	5746	5470	4310	3198	1786	1120	27752	3241	2951	6077	4955	3495	3056	1838	1626	27239	6559	5755	11823	10425	7805	6254	3624	2746	54991
2	HISP	1492	1296	1439	1328	915	600	274	164	7508	1436	1200	1254	1209	876	622	342	254	7193	2928	2496	2693	2537	1791	1222	616	418	14701
2	NHW	1911	1415	1793	2127	2082	2224	1571	1622	14745	1864	1488	1873	2033	2068	2359	1783	2493	15961	3775	2903	3666	4160	4150	4583	3354	4115	30706
2	NHB	708	647	578	574	612	487	198	71	3875	663	633	603	648	678	524	244	147	4140	1371	1280	1181	1222	1290	1011	442	218	8015
2	NHAM	23	13	14	8	10	4	9	5	86	25	17	8	14	11	15	5	8	103	48	30	22	22	21	19	14	13	189
