NAME	NHW	NHB	NHAM	NHAS	NHOTHER	HISP	MULTI	TOTAL	Total	White alone	Black or African American alone	American Indian and Alaska Native alone	Asian alone	Native Hawaiian and other Pacific Islander alone	Some other race alone	Two or more races	Total	Not Hispanic or Latino [subtotal]	"White alone, not Hispanic or Latino"	"Black or African American alone, not Hispanic or Latino"	"American Indian and Alaska Native alone, not Hispanic or Latino"	"Asian alone, not Hispanic or Latino"	"Native Hawaiian and other Pacific Islander alone, not Hispanic or Latino"	"Some other race alone, not Hispanic or Latino"	"Two or more races, not Hispanic or Latino"	Hispanic or Latino [subtotal]	"White alone, Hispanic or Latino"	"Black or African American alone, Hispanic or Latino"	"American Indian and Alaska Native alone, Hispanic or Latino"	"Asian alone, Hispanic or Latino"	"Native Hawaiian and other Pacific Islander alone, Hispanic or Latino"	"Some other race alone, Hispanic or Latino"	"Two or more races, Hispanic or Latino"	Total races tallied	White alone or in combination with one or more other races	Black or African American alone or in combination with one or more other races	American Indian and Alaska Native alone or in combination with one or more other races	Asian alone or in combination with one or more other races	Native Hawaiian and other Pacific Islander alone or in combination with one or more other races	Some other race alone or in combination with one or more other races	Asian alone with one Asian category	Asian Indian	Bangladeshi	Bhutanese	Burmese	Cambodian	Chinese (except Taiwanese)	Filipino	Hmong	Indonesian	Japanese	Korean	Laotian	Malaysian	Nepalese	Pakistani	Sri Lankan	Taiwanese	Thai	Vietnamese	"Other Asian, specified"	"Other Asian, not specified"	Hispanic or Latino by specific origin	Mexican	Puerto Rican Cuban	Cuban	Dominican	Central American (excluding Mexican) [subtotal]	Costa Rican	Guatemalan	Honduran	Nicaraguan	Panamanian	Salvadoran	Other Central American	South American [subtotal]	Argentinean	Bolivian	Chilean	Colombian	Ecuadorian	Paraguayan	Peruvian	Uruguayan	Venezuelan	Other South American	Other Hispanic or Latino [subtotal]	Spaniard	Spanish	Spanish American	All other Hispanic or Latino
0	854717	872286	4097	144903	4784	778862	35949	2695598	2695598	1212835	887608	13337	147164	1013	360493	73148	2695598	1916736	854717	872286	4097	144903	557	4227	35949	778862	358118	15322	9240	2261	456	356266	37199	2774441	1270097	913009	26933	166770	3770	393862	144193	29948	624	276	648	1204	42060	29664	85	294	4347	11422	414	110	534	7008	335	1111	2658	8930	657	1864	778862	578100	102703	8331	2737	31263	681	17973	5021	1239	883	5204	262	32129	1743	626	876	7547	15466	101	4075	267	1121	307	23599	3173	1697	66	18663
1	21618	14461	142	3523	241	13433	1573	54991	54991	27721	14853	334	3579	47	6043	2414	54991	41558	21618	14461	142	3523	39	202	1573	13433	6103	392	192	56	8	5841	841	57697	29541	16000	884	4320	149	6803	3448	740	19	213	224	28	503	632	4	5	126	183	7	10	83	343	7	13	40	148	16	104	13433	10268	869	215	72	839	22	384	98	19	32	260	24	640	67	15	35	173	136	1	133	16	48	16	530	82	74	1	373
2	30706	8015	189	16184	228	14701	1919	71942	71942	36971	8292	353	16280	17	7152	2877	71942	57241	30706	8015	189	16184	3	225	1919	14701	6265	277	164	96	14	6927	958	74986	39115	9138	768	17636	124	8205	15819	5391	268	34	44	103	1299	2082	3	12	263	673	49	7	65	2832	109	12	149	2061	71	292	14701	10061	1245	367	37	1214	26	668	109	32	21	346	12	1226	47	19	50	452	371	0	236	16	12	23	551	91	60	1	399
3	29098	11275	191	6414	140	8009	1235	56362	56362	32674	11500	286	6467	18	3647	1770	56362	48353	29098	11275	191	6414	10	130	1235	8009	3576	225	95	53	8	3517	535	58346	34086	12198	689	7142	95	4136	6293	733	68	0	32	94	783	1077	23	12	259	724	20	8	5	569	27	25	227	1452	26	129	8009	4665	957	264	49	659	23	468	79	10	13	61	5	899	62	24	31	199	444	3	64	7	63	2	516	121	54	1	340
4	24916	1488	72	4399	139	7562	917	39493	39493	28564	1614	186	4458	17	3249	1405	39493	31931	24916	1488	72	4399	11	128	917	7562	3648	126	114	59	6	3121	488	40991	29766	1934	385	5082	90	3734	4346	504	28	0	20	91	371	1506	3	7	181	429	17	5	9	370	2	12	203	406	88	94	7562	4212	875	258	24	848	19	568	82	15	18	129	17	931	46	5	24	375	262	11	171	9	19	9	414	67	58	2	287
5	24634	738	55	1449	67	4330	594	31867	31867	27138	811	116	1477	16	1406	903	31867	27537	24634	738	55	1449	16	51	594	4330	2504	73	61	28	0	1355	309	32836	27944	1035	253	1911	48	1645	1446	215	6	0	13	5	165	562	0	0	132	183	5	2	0	22	4	6	61	33	7	25	4330	2403	787	141	7	283	14	180	24	21	8	33	3	447	33	8	15	118	174	0	79	4	12	4	262	67	26	0	169
6	75845	3651	110	5653	184	7198	1727	94368	94368	80333	3801	189	5720	51	2107	2167	94368	87170	75845	3651	110	5653	44	140	1727	7198	4488	150	79	67	7	1967	440	96689	82199	4412	576	6824	164	2514	5565	1482	11	0	4	9	926	1189	1	23	414	725	16	6	18	155	27	79	250	136	29	65	7198	3675	1088	380	51	435	30	223	46	29	46	56	5	989	132	59	60	274	173	12	157	13	92	17	580	229	98	2	251
7	53138	2753	54	3296	133	3571	1171	64116	64116	55418	2843	98	3324	28	985	1420	64116	60545	53138	2753	54	3296	17	116	1171	3571	2280	90	44	28	11	869	249	65644	56666	3190	312	4156	85	1235	3254	1100	3	0	3	13	700	414	2	10	201	465	10	6	0	68	9	62	58	71	13	46	3571	1677	684	212	21	169	7	88	17	7	14	33	3	517	94	19	44	152	71	3	98	3	29	4	291	125	52	1	113
8	58033	8732	79	8140	188	3974	1338	80484	80484	60721	8864	105	8191	27	977	1599	80484	76510	58033	8732	79	8140	25	163	1338	3974	2688	132	26	51	2	814	261	82219	62042	9347	341	9094	93	1302	8043	3279	28	0	13	16	1516	798	7	40	397	1099	8	9	9	192	18	227	135	137	16	99	3974	1635	504	263	46	182	25	42	25	20	41	26	3	835	167	24	52	180	204	8	94	6	94	6	509	223	79	1	206
9	9885	29	3	269	9	872	120	11187	11187	10506	34	9	277	3	183	175	11187	10315	9885	29	3	269	1	8	120	872	621	5	6	8	2	175	55	11371	10677	62	45	355	10	222	269	48	0	0	0	8	24	106	0	0	20	32	0	0	0	1	4	0	12	5	1	8	872	448	214	38	1	57	0	24	1	0	7	21	4	76	3	0	1	28	19	0	23	0	2	0	38	20	5	1	12
